Data,Turma,Motivo
19/3/2006,Segurança da informação 1,falta de vale transporte
20/3/2006,Gestão comercial 3,falta de vale transporte
21/3/2006,Gestão comercial 1,falta de vale transporte
22/3/2006,Logistica 2,falta de vale transporte
23/3/2006,Designer 1,falta de vale transporte
24/3/2006,Gestão da Tecnologia da informação 3,falta de vale transporte
25/3/2006,Segurança da informação 2,falta de vale transporte
26/3/2006,Designer 2,falta de vale transporte
27/3/2006,Análise e desenvolvimento de sistemas 1,falta de vale transporte
28/3/2006,Jogos digitais 3,falta de vale transporte
29/3/2006,Análise e desenvolvimento de sistemas 4,falta de vale transporte
30/3/2006,Jogos digitais 2,falta de vale transporte
31/3/2006,Designer 3,falta de vale transporte
1/4/2006,Gestão comercial 3,falta de vale transporte
2/4/2006,Gestão comercial 2,falta de vale transporte
3/4/2006,Segurança da informação 1,falta de vale transporte
4/4/2006,Jogos digitais 1,falta de vale transporte
5/4/2006,Gestão da Tecnologia da informação 4,falta de vale transporte
6/4/2006,Logistica 3,falta de vale transporte
7/4/2006,Análise e desenvolvimento de sistemas 4,falta de vale transporte
8/4/2006,Gestão da Tecnologia da informação 4,falta de vale transporte
9/4/2006,Designer 3,falta de vale transporte
10/4/2006,Designer 1,falta de vale transporte
11/4/2006,Gestão comercial 3,falta de vale transporte
12/4/2006,Gestão comercial 3,falta de vale transporte
13/4/2006,Análise e desenvolvimento de sistemas 2,não se adaptou a metodologia
13/4/2006,Designer 2,falta de vale transporte
14/4/2006,Designer 4,não se adaptou a metodologia
14/4/2006,Logistica 2,falta de vale transporte
15/4/2006,Gestão da Tecnologia da informação 2,não se adaptou a metodologia
15/4/2006,Análise e desenvolvimento de sistemas 3,falta de vale transporte
16/4/2006,Análise e desenvolvimento de sistemas 1,não se adaptou a metodologia
16/4/2006,Logistica 4,falta de vale transporte
17/4/2006,Segurança da informação 3,não se adaptou a metodologia
17/4/2006,Jogos digitais 4,falta de vale transporte
18/4/2006,Gestão da Tecnologia da informação 4,não se adaptou a metodologia
18/4/2006,Segurança da informação 1,falta de vale transporte
19/4/2006,Gestão comercial 4,não se adaptou a metodologia
19/4/2006,Segurança da informação 4,falta de vale transporte
20/4/2006,Designer 1,não se adaptou a metodologia
